StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q19,Q30,Q34,Q35,Q37,Q39,Q67,Q1,Q2,Q3,Q4,Q5,Q41,Q42,Q43,Q44,Q45,Q71,code 1,Q46_1,Q46_2,Q46_3,Q79,Q72,Q9,Q11,Q69,code 2,Q48_1,Q48_2,Q48_3,Q80,Q70,Q50,Q51,Q52,Q53,Q54,Q55,Q59,Q61,Q62,Q63,Q64,Q65,Q81,SC0,SC1,condition,Trust change
7/24/19 17:32,7/24/19 17:54,0,67.11.160.144,100,1303,1,7/24/19 17:54,R_DpnWqMSrKCJExNL,,,,,29.52110291,-98.32929993,anonymous,EN,1,2,1,6,"1,2,3,4",1,,1,1,2,1,2,1,1,1,1,1,I tnink it is most important to identify and detain those who are more likely than not to re-offend.  These types of individuals will typically have some type of prior history either in the juvenile setting or adult setting and come from specific areas of the city where you find higher rates of crime.,Retain likely offenders,1063,1937,1063,It would identify those who should probably be detailed compared to others that were less likely.,6,3,3,i think it is more likely to focus on african americans than whites as they have been shown to commit crimes at a much higer rate.  There is no way to avoid profiling with this aspect.,No bias,0,0,0,i was unable to get the bar to move after selecting the race button.  ,6,6,7,3,6,6,6,4,female,3,3,8,7,"i think it is a good model and however you word it, once you bring race into any tool or way of looking at stats, someone will complain and make it an issue.  stats never lie and sometimes you just have to point out that race plays a big part in crime.",8,1,data,0
7/24/19 17:45,7/24/19 17:57,0,129.110.241.72,100,719,1,7/24/19 17:57,R_1gwl16BYGTPgqhY,,,,,32.76730347,-96.77760315,anonymous,EN,1,2,1,6,"1,2,3,4",1,,1,1,2,2,3,1,2,2,1,2,"It's definitely most important to balance the two goals, so you're not punishing the innocent and you're not letting the guilty go free. If one option has to be chosen, it's better to not detain anyone who will not reoffend in the case that it's a mistake since America's system is built on innocent until proven guilty.",FP,982,875,120,It's a combination of both that will reduce the likelihood of false positives and false negatives.,7,1,1,"It is definitely more important to make the judgement free of bias. The goal of an algorithm is to not factor in things that could be discriminating against a party. While making fewer mistakes is ideal, eliminating bias in the process is a must.",No bias,67,384,906,It's the best outcome because it results in the lowest number of prediction errors. This will make the algorithm the most accurate.,7,6,7,3,6,7,6,3,female,3,4,7,4,None,7,1,data,0
7/24/19 17:40,7/24/19 17:57,0,173.53.112.143,100,988,1,7/24/19 17:57,R_soGlsHFssAIxLqx,,,,,37.58250427,-77.5196991,anonymous,EN,1,2,1,5,"1,2,3,4",1,,1,1,2,1,1,2,2,2,1,2,I think you need a balance.  I believe in giving second chances but only for thse who are worthy of a second chance but you do not want to penalize the wrong offenders.,FP,1022,1667,56,It has the least false positives.,6,1,2,Getting the correct information to give offenders another chance or keep dangerous ones incarcerated.,,451,1049,32,It seemed fair to all.,6,5,5,3,5,5,5,3,male,3,1,5,5,Great tool,6,1,data,0
7/24/19 17:37,7/24/19 17:57,0,75.134.7.117,100,1189,1,7/24/19 17:57,R_6S7DuDvi1mT1ntn,,,,,41.4730072,-73.49780273,anonymous,EN,1,2,1,6,"1,2,3,4",,1,1,1,2,1,2,1,1,1,2,2,I believe it is most important to identify and detain all defendants who might potentially reoffend. It is more important to protect innocent people than to not detain someone who has done a crime. I do think we should try our best not to hold back people who will not reoffend though. ,FP,416,1692,892,It has the lowest percentage of incorrect predictions,6,3,2,We have to treat the two groups without bias otherwise that is racism and it's not fair. ,No bias,80,1006,903,It makes it the most even between races,5,5,6,3,5,5,5,4,female,3,1,2,4,"I hope I picked the right button ""third button from the left"" ",10,1,scenario,-1
7/24/19 17:55,7/24/19 17:59,0,103.77.19.77,100,244,1,7/24/19 17:59,R_2V9AjC19SwnIEiu,,,,,23.71209717,90.45980835,anonymous,EN,1,2,1,6,"1,2,3,4",1,,2,3,2,1,2,2,2,1,2,1,awesome stocking stuffers ,,quality ,congress ,control ,focusing ,5,2,1,awesome stocking stuffers ,,control ,o'er ,quality ,quality ,5,4,5,3,5,4,5,3,male,3,1,5,5,awesome,6,1,data,-1
7/24/19 17:52,7/24/19 17:59,0,67.190.108.86,100,443,1,7/24/19 17:59,R_3Rmcip3NPuknE4n,,,,,39.68139648,-104.8836975,anonymous,EN,1,2,1,4,"1,2,3,4",1,,1,3,2,2,1,2,1,3,1,1,It is most important that the algorithm produces a likelihood that has a 99% confidence to be correct so that people who should not be considered like to be recidivist are not considered that.,Probability important,2000,1000,500,It produces an efficient and risk-assessing figure that accounts for most possible variables in any given scenario.,4,1,2,I value getting the predictions correct.,Errors,1000,1000,1000,It seems fair.,4,7,4,3,4,4,4,3,male,3,2,7,5,n/a,4,1,data,0
7/24/19 17:44,7/24/19 17:59,0,67.241.232.240,100,944,1,7/24/19 17:59,R_2rZrhLXzS6LRh04,,,,,42.14300537,-77.04570007,anonymous,EN,1,2,1,2,"1,2,3,4",,1,1,1,2,1,2,1,1,1,2,2,"There should be some sort of balance, but in general I would prefer to minimize false positives and prevent as many non-reoffenders as possible from suffering the negative consequences of the algorithm such as perhaps getting longer sentences and so forth.  ",FP,45,1929,1026,"This got the number of false positives down to only 8, which is important to me.  The overall errors jumped by about 125 or so, but I think this is an acceptable price to pay.",5,1,1,"I think it is important to place a heavy emphasis on reducing disparities.  There is a massive amount of disparity and systemic racism as is, so trying to balance this out a bit with the slider is acceptable to me.  ""Treating the two groups of defendants"" without bias cannot be achieved with the slider because of the current state of the justice system.",No bias,46,1036,946,I tried to focus on minimizing false positives and minimizing disparities and this is what I got.,6,5,6,3,6,5,2,4,Male,3,1,7,3,"Thanks, this was interesting!",12,1,scenario,0
7/24/19 17:27,7/24/19 18:00,0,68.191.33.60,100,1997,1,7/24/19 18:00,R_3JsYSuXsD75jmPi,,,,,41.33120728,-73.22429657,anonymous,EN,1,2,1,6,"1,2,3,4",,1,2,1,1,1,3,1,2,1,1,1,I don't know.,,5,5,4,I don't know.,7,2,2,I don't know.,,5,5,5,I don't know.,5,4,5,4,6,3,4,1,male,1,5,1,1,NA,4,0,scenario,-2
7/24/19 17:47,7/24/19 18:01,0,73.223.27.202,100,858,1,7/24/19 18:01,R_2XahRIeAiA8Payo,,,,,37.43710327,-121.895401,anonymous,EN,1,2,1,6,"1,2,3,4",,1,1,1,2,1,2,1,1,1,2,2,"I think it is the most important to minimize overall incorrect predictions.  Secondly, it is more important to minimize False Negatives than False Positives.",Errors,416,1692,892,It ensures there are the least amount of incorrect predictions.,6,1,1,"Once again, I feel like it is the most important to minimize the total number of incorrect predictions.",Errors,114,978,887,It minimizes the number of total incorrect predictions.,6,6,7,3,7,7,6,3,male,3,4,4,6,fun,12,1,scenario,0
7/24/19 17:41,7/24/19 18:02,0,174.49.163.171,100,1247,1,7/24/19 18:02,R_3FX1vrfWMwLu6xc,,,,,40.17779541,-77.23280334,anonymous,EN,1,2,1,6,"1,2,3,4",1,,1,1,2,1,2,1,1,1,2,2,"to identify people that may be repeat offenders, it would help to prevent these people from committing more crimes",Retain likely offenders,861,1209,930,it gives the most true results,6,1,2,the algorithim will prevent bias based on race ,No bias,260,780,1016,it shows minimal errors,5,6,5,3,5,6,4,4,female,2,1,4,5,n/a,11,1,data,-2
7/24/19 17:46,7/24/19 18:04,0,206.213.251.35,100,1049,1,7/24/19 18:04,R_263K9l4B9oD9Z8k,,,,,41.53819275,-72.80079651,anonymous,EN,1,2,1,5,"1,2,3,4",1,,1,1,2,1,2,1,1,1,2,2,It's important to balance not everyone will re-offend and holding people back or giving harsher sentencing because of perceived recidivism rates is not completely fair in the system especially if it is not balanced correctly and tends to be a little bit discriminatory towards the poor or certain races or other factors.,Both,416,1692,892,It has the lowest prediction errors of all the different options on the slider.,6,1,1,It is important to treat the two groups without bias. Treating with racial bias is wrong at all costs even if it means higher rates of reoffenders.,No bias,110,986,884,It uses the least amount of racial bias and tries to minimize errors without the use of it.,7,6,7,3,7,7,5,3,male,3,1,5,6,No comments,12,1,data,0
7/24/19 17:34,7/24/19 18:04,0,141.126.131.90,100,1805,1,7/24/19 18:04,R_2U60vj8LDDWkCJQ,,,,,43.12049866,-89.35230255,anonymous,EN,1,2,1,5,"1,2,3,4",1,,1,1,2,1,2,1,1,1,2,2,"I think it is most important to not detain anyone who will not reoffend! These things will never be able to predict with complete certainty, as there are too many variables at play. There will always be incorrect predictions. However, it is vital that those who will not reoffend do not get detained, even if that means letting some people go that do reoffend. These people have all already been punished for the crimes they committed - it is unethical to detain everyone because there is the possibility that they will commit another crime. ",FP,276,1813,911,Because it minimizes the false positives while keeping the prediction error relatively low.,5,1,1,"It is definitely more important to treat the two groups without bias! African Americans make up a disproportionate amount of the prison population compared to the overall population. There is already an incredible bias against them in the American justice system, so great care must be taken to ensure that everyone is treated fairly. If this means that the predictions/results are more incorrect, then so be it.",No bias,65,"I am unable to see this number. In the previous questions, I was able to figure out the number through simple algebra (I can see the three other numbers, so I just subtracted the total of those from 3000) but since there are two different numbers here I cannot figure it out. ",929,It minimizes both the disparity and the false positives while also minimizing errors (to a degree). ,5,6,7,3,6,6,3,3,Female,3,1,5,5,Interesting study!! ,12,1,data,-2
7/24/19 17:23,7/24/19 18:04,0,67.166.140.47,100,2466,1,7/24/19 18:04,R_3PZUqC7LkKsN0zQ,,,,,38.58790588,-121.405304,anonymous,EN,1,2,1,5,"1,2,3,4",,1,2,1,1,1,2,1,2,1,2,3,I value that it helps maintain statics for future prediction of re-offenders and to non re-offenders. It's good to see the two side by side and make a comparison of the two to see what are similar and what are not.,,416,1692,892,I think it's the best outcomes because there is only a 29% incorrect prediction out of the the predictions that are made. The percentage of wrong prediction is at it's lowest. ,5,2,2,To stop the stereo type of how white people are less likely than black people to re-offend. It helps show the truth of and will lead to the correct thinking of re-offenders. ,No bias,65,1024,910,It's at it's lowest of incorrect predictions 30%,5,2,5,3,4,3,4,4,female,2,4,2,4,It was challenging but given time I was able to complete the tasks with sincere effort. ,6,1,scenario,-1
